id,question,answer,answerable,category,relevant_ids,source,single_agent,feedback1,two_agents,three_agents
<end_of_turn>","

**Feedback:**

The answer is incorrect.  Here's why:

* **The problem states that Jack received a total of 10 emails in the day.**  
* **The answer focuses on the morning and afternoon emails, but doesn't account for the evening emails.**

**Here's how to solve the problem correctly:**

1. **Total emails from morning and afternoon:** 6 + 3 = 9 emails
2. **Subtract the morning and afternoon emails from the total:** 10 - 9 = 1 email

**Answer:** Jack received 1 email in the evening. 


Let me know if you'd like to practice more word problems! 
<end_of_turn>"," 


Here's a refined response:

You're absolutely right! My apologies for the mistake.  

The problem is a bit tricky because it doesn't give us a direct way to calculate the evening emails.  Here's how to solve it:

* **We know the total number of emails is 10.**
* **We know he received 9 emails in the morning and afternoon.**
* **Therefore, the remaining emails must be in the evening.**

**Answer:** Jack received 1 email in the evening. 



Let me know if you have any other word problems you'd like to try! 
<end_of_turn>"," 
<end_of_turn>"
93,Paige was helping her mom plant flowers and together they planted 45 seeds in 9 flowerbeds. If they put same number of seeds in each flower bed.How many seeds did they plant in each flowerbed?,[5.0],True,,,SVAMP,"

Here's how to solve the problem:

* **Divide the total seeds by the number of flowerbeds:** 45 seeds / 9 flowerbeds = 5 seeds/flowerbed

**Answer:** They planted 5 seeds in each flowerbed. 
<end_of_turn>","

**Feedback:**

The answer is correct! The student correctly used division to solve the problem. 

**Here's what could be improved:**

* **Explain the concept of division:** While the answer is correct, it would be beneficial to explicitly explain the concept of division in the context of the problem. For example, the student could say: ""We know they planted 45 seeds in total and divided them equally among 9 flowerbeds. To find out how many seeds were in each flowerbed, we need to divide the total seeds by the number of flowerbeds.""
* **Highlight the importance of the problem:**  The student could emphasize that this problem is about finding the ""average"" number of seeds per flowerbed. This helps students understand the meaning of the problem and the importance of finding the right answer.


Overall, the student provided a correct answer, but adding a bit more explanation and context would make the solution even more clear and helpful for other learners. 
<end_of_turn>"," 

Here's how to solve the problem:

**Understanding the Problem**

Imagine we have 9 flowerbeds, and we want to know how many seeds we put in each one.  We know that we planted a total of 45 seeds.  To find out how many seeds are in each flowerbed, we need to divide the total seeds by the number of flowerbeds.

**The Calculation**

* **Divide the total seeds by the number of flowerbeds:** 45 seeds / 9 flowerbeds = 5 seeds/flowerbed

**Answer:** They planted 5 seeds in each flowerbed. 


**Explanation**

We used division to solve this problem.  Division is like splitting a group of things into equal parts. In this case, we divided the total seeds into 9 equal parts, which is what each flowerbed represents. 


Let me know if you have any other math problems you'd like to work through! 
<end_of_turn>"," 
 
 
<end_of_turn>"
94,The Razorback shirt shop makes $ 106 dollars off each shirt sold. During the Arkansas game and the Texas tech game they sold a total of 242 shirts. If they sold 115 shirts during the Arkansas game.How many shirts did they sell during the Texas tech game?,[127.0],True,,,SVAMP," 

Here's how to solve the problem:

**1.  Find the earnings from the Texas Tech game:**

*  Let 'x' represent the number of shirts sold during the Texas Tech game.
*  The earnings from the Texas Tech game are 106x.

**2.  Set up an equation:**

*  The total earnings from both games is $106 * 242.
*  We know the earnings from the Arkansas game is 106 * 115.
*  Therefore, 106x + 106 * 115 = 106 * 242

**3.  Solve for x:**

*  Simplify the equation: 106x + 12190 = 25672
*  Subtract 12190 from both sides: 106x = 13482
*  Divide both sides by 106: x = 128

**Answer:** They sold 128 shirts during the Texas Tech game. 
<end_of_turn>"," 

**Feedback:**

* **The answer is correct!** The student correctly set up an equation, solved for 'x', and found the number of shirts sold during the Texas Tech game. 
* **The explanation is clear and concise.** The student explained each step in a logical and easy-to-understand manner. 
* **The use of variables is appropriate.** The student used 'x' to represent the unknown number of shirts sold during the Texas Tech game. 
* **The equation is well-structured.** The student used the correct formula to represent the total earnings from both games. 
* **The solution is presented in a clear and organized manner.** The student presented the answer in a concise and easy-to-understand format. 

**Suggestions:**

* **Consider adding a brief explanation of why the total earnings from both games is equal to 25672.** This would further solidify the understanding of the problem. 
* **You could also mention that the student used the concept of ""total earnings"" to solve the problem.** This would highlight the importance of understanding the relationship between total earnings and the number of shirts sold. 



Overall, this is a well-written and accurate solution to the problem. The student demonstrates a strong understanding of the concepts involved and presents their solution in a clear and concise manner. 
<end_of_turn>"," 

**Refined Response:**

The student's solution is excellent! They correctly identified the key information needed to solve the problem: the profit per shirt ($106), the total number of shirts sold ($242), and the earnings from the Arkansas game ($106 * 115). 

Here's a breakdown of their approach:

1. **Define Variables:** The student cleverly used the variable 'x' to represent the number of shirts sold during the Texas Tech game. This is a standard practice in algebra problems.

2. **Set Up the Equation:**  The student correctly used the total earnings from both games ($106 * 242) and the earnings from the Arkansas game ($106 * 115) to set up an equation. This equation represents the total earnings from both games.

3. **Solve for 'x':** The student skillfully solved the equation for 'x', which represents the number of shirts sold during the Texas Tech game. They used the equation to isolate 'x' and found that x = 128.

4. **Present the Answer:** The student presented the answer clearly and concisely, demonstrating a strong understanding of the problem and the solution process.

**Additional Insights:**

* **Total Earnings:** The student correctly understood that the total earnings from both games were equal to 25672. This highlights the importance of understanding the relationship between total earnings and the number of shirts sold.
* **Concept of ""Total Earnings"":** The student's solution demonstrates a clear understanding of the concept of ""total earnings"" and how it relates to the number of shirts sold. 

Overall, the student's solution is well-written, accurate, and demonstrates a strong understanding of the problem-solving process. 



<end_of_turn>"," 
<end_of_turn>"
95,Lucy went to the grocery store. She bought 10 packs of cookie and 4 packs of cake..How many more packs of cookie did she buy over cake?,[6.0],True,,,SVAMP,"

Here's how to solve the problem:

* **Find the total number of cookie packs:** 10 packs
* **Find the total number of cake packs:** 4 packs
* **Find the difference:** 10 - 4 = 6

**Answer:** Lucy bought 6 more packs of cookie than cake. 
<end_of_turn>"," 

**Feedback:**

The answer is correct, but it could be more clear and concise. Here's how to improve it:

* **Focus on the question:** The answer directly addresses the question, but it could be phrased more explicitly. For example, ""Lucy bought 10 packs of cookie and 4 packs of cake. How many more packs of cookie did she buy over cake?""
* **Use a more concise language:** The answer is a bit wordy.  ""Find the difference"" is a bit clunky.  
* **Highlight the key information:** The answer should clearly state that Lucy bought 6 more packs of cookie than cake.


**Here's a revised answer:**

Lucy bought 10 packs of cookie and 4 packs of cake.  She bought 6 more packs of cookie than cake. 
<end_of_turn>"," 


<end_of_turn>"," 
<end_of_turn>"
96,The ring toss game at the carnival made the same amount of money each day. In total in 30 days they earned 420 dollars. Together with game they earned 22 dollars..How much did ring toss game make per day?,[14.0],True,,,SVAMP,"

Here's how to solve the problem:

**1.  Find the earnings from the ring toss game alone:**

*  Total earnings - Earnings from other games = Earnings from ring toss game
*  $420 - $22 = $398

**2. Calculate the earnings per day:**

*  Earnings from ring toss game / Number of days = Earnings per day
*  $398 / 30 days = $13.27 per day (rounded to the nearest cent)


**Answer:** The ring toss game made $13.27 per day. 
<end_of_turn>"," 

**Feedback:**

* **The answer is correct.** You've correctly identified the key steps and solved the problem. 
* **Clarity:** The explanation is clear and easy to understand. 
* **Accuracy:** The calculations are accurate. 
* **Recommendation:**  You could add a sentence or two about the importance of understanding how to solve word problems. 

**Overall:** This is a well-written and accurate solution to the problem. 
<end_of_turn>"," 

**Refined Response:**

Here's how to solve the problem:

1. **Find the earnings from the ring toss game alone:**
   *  Total earnings - Earnings from other games = Earnings from ring toss game
   *  $420 - $22 = $398

2. **Calculate the earnings per day:**
   *  Earnings from ring toss game / Number of days = Earnings per day
   *  $398 / 30 days = $13.27 per day (rounded to the nearest cent)

**Answer:** The ring toss game made $13.27 per day. 

**Explanation:**

Word problems like this can be tricky, but they're all about breaking down the information and using logic.  The key is to identify what we know and what we need to find. In this case, we knew the total earnings and the earnings from other games, and we needed to figure out how much the ring toss game made each day. 


Let me know if you'd like to try another problem! 
<end_of_turn>"," 
<end_of_turn>"
97,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 25 inches. The frog jumped 18 inches farther than the grasshopper and the mouse jumped 2 inches farther than the frog..How far did the mouse jump?",[45.0],True,,,SVAMP,"

Here's how to solve the problem step-by-step:

1. **Frog's jump:** The frog jumped 18 inches farther than the grasshopper, so it jumped 25 + 18 = 43 inches.

2. **Mouse's jump:** The mouse jumped 2 inches farther than the frog, so it jumped 43 + 2 = 45 inches.

**Answer:** The mouse jumped 45 inches. 
<end_of_turn>"," 

Here's what I like about the answer:

* **Clear and concise:** The steps are easy to follow and understand.
* **Correct calculations:** The calculations are accurate.
* **Logical reasoning:** The answer is logically sound.

Here's what could be improved:

* **Explicitly state the relationship between the jumps:**  While the answer is correct, it could be more explicit about the relationships between the jumps. For example, you could say ""The frog jumped 18 inches farther than the grasshopper, and the mouse jumped 2 inches farther than the frog."" This would make the answer more clear and easier to follow.
* **Highlight the key concept:** The problem involves a sequence of jumps, and the key concept is to work backward from the final jump to find the initial jump. 

**Overall:** The answer is good, but it could be improved by being more explicit about the relationships between the jumps and highlighting the key concept. 
<end_of_turn>"," 

Here's a refined response:

The grasshopper, the frog, and the mouse had a jumping contest.  The grasshopper jumped 25 inches.  The frog jumped 18 inches farther than the grasshopper, and the mouse jumped 2 inches farther than the frog.  

To find out how far the mouse jumped, we need to work backward from the final jump. 

1. **Frog's jump:** The frog jumped 18 inches farther than the grasshopper, so it jumped 25 + 18 = 43 inches.

2. **Mouse's jump:** The mouse jumped 2 inches farther than the frog, so it jumped 43 + 2 = 45 inches.

**Answer:** The mouse jumped 45 inches. 


**Explanation of Changes:**

* **Explicitly stated relationships:**  The response now explicitly states the relationships between the jumps, making it easier to follow the logic.
* **Highlighting the key concept:** The response emphasizes the key concept of working backward from the final jump to find the initial jump. 
* **Clarity and conciseness:** The response is now more concise and easier to understand. 



Let me know if you have any other questions or would like to explore other jumping contest problems! 
<end_of_turn>"," 
<end_of_turn>"
98,"19 red peaches, 11 yellow peaches and 12 green peaches are in the basket..How many more red peaches than yellow peaches are in the basket?",[8.0],True,,,SVAMP,"

Here's how to solve the problem:

* **Find the total number of red peaches:** 19
* **Find the total number of yellow peaches:** 11
* **Find the difference between the number of red and yellow peaches:** 19 - 11 = 8

**Answer:** There are **8** more red peaches than yellow peaches in the basket. 
<end_of_turn>"," 

**Feedback:**

The answer is correct, but it could be more concise and clear. Here's how to improve it:

* **Focus on the question:** The answer directly addresses the question, but it could be phrased more explicitly. For example, ""There are 8 more red peaches than yellow peaches.""
* **Use a more concise language:** The answer is a bit wordy.  
* **Highlight the key information:** The answer should clearly state the difference between the number of red and yellow peaches.


**Revised Answer:**

There are 8 more red peaches than yellow peaches in the basket. 


Let me know if you'd like to explore other ways to express this information! 
<end_of_turn>"," 


<end_of_turn>"," 
<end_of_turn>"
99,Kelly has 46 casual games and 132 war games.How many war games does she need to give away so that she will have 31 war games left?,[101.0],True,,,SVAMP,"

Here's how to solve this problem:

**1. Find the total number of games:**

*  46 casual games + 132 war games = 178 games

**2.  Find the number of games she needs to give away:**

* 31 war games needed + 132 war games = 163 war games
* 163 war games - 178 war games = -15 games

**3. Interpret the result:**

*  The result is negative, which means she doesn't need to give away any games to have 31 war games left. 


**Answer:** She doesn't need to give away any war games. 
<end_of_turn>"," 

**Here's what I think:**

The answer is incorrect. The problem asks how many games she needs to give away to have 31 left. The answer provided states that she doesn't need to give any games away. 

**Here's how to solve the problem correctly:**

1. **Find the total number of games:** 46 casual games + 132 war games = 178 games
2. **Find the number of games she needs to give away:** 31 war games needed + 132 war games = 163 war games
3. **Find the number of games she needs to give away to have 31 left:** 163 war games - 31 war games = 132 war games
4. **Answer:** She needs to give away 132 war games. 



Let me know if you have any other questions. 
<end_of_turn>"," 

You are absolutely right! My apologies, I made a mistake in interpreting the problem. 

Here's the corrected solution:

1. **Find the total number of games:** 46 casual games + 132 war games = 178 games
2. **Find the number of games she needs to give away to have 31 left:** 31 war games needed + 132 war games = 163 war games
3. **Find the number of games she needs to give away to have 31 left:** 163 war games - 31 war games = 132 war games
4. **Answer:** She needs to give away 132 war games. 



I am still under development and learning to understand complex problems. Thank you for pointing out my error! 
<end_of_turn>"," 
<end_of_turn>"
100,Debby bought some water bottles when they were on sale. She drank 109 bottles a day. If the bottles lasted for 74 days.How many bottles had she bought?,[8066.0],True,,,SVAMP,"

Here's how to solve the problem:

* **Find the total number of bottles consumed:** 109 bottles/day * 74 days = 8266 bottles
* **The answer:** Debby bought 8266 bottles. 
<end_of_turn>","

**Feedback:**

The response is correct, but it could be improved by:

* **Addressing the wording of the question:** The question asks ""How many bottles had she bought?""  The response focuses on the number of bottles consumed, which is a different concept. 
* **Explicitly stating the relationship between the consumed bottles and the bottles bought:** The response could be more clear by stating that the number of bottles bought is the total number of bottles consumed divided by the number of days the bottles lasted. 

**Here's a revised response:**

""To find out how many bottles Debby bought, we need to consider the relationship between the bottles she bought and the bottles she consumed.  

* **She consumed 109 bottles per day for 74 days.** This means she consumed a total of 109 bottles/day * 74 days = 8266 bottles.
* **Therefore, Debby bought 8266 bottles.**""


This revised response is more direct and addresses the question's wording. 
<end_of_turn>"," 


<end_of_turn>"," 
<end_of_turn>"
101,Debby bought 264 water bottles when they were on sale. If she drank 15 bottles a day for 11 days..How many bottles does she have left?,[99.0],True,,,SVAMP,,,,
102,Dan has $ 4. He had $ 3 left with him after he bought a candy bar..How much did the candy bar cost?,[1.0],True,,,SVAMP,,,,
103,The Razorback shop makes $ 192 dollars off each shirt and $ 34 off each jersey. During the Arkansas and Texas tech game they sold 157 shirts and 19 jerseys..How much more does a shirt cost than a jersey?,[158.0],True,,,SVAMP,,,,
104,During summer break 644997 kids from Lawrence county stayed home and the other 893835 kids went to camp. An additional 78 kids from outside the county attended the camp..How many kids are in Lawrence county?,[1538832.0],True,,,SVAMP,,,,
105,"A grocery store had 30 bottles of regular soda, 8 bottles of diet soda and 41 apples..How many bottles did they have total?",[38.0],True,,,SVAMP,,,,
106,"Julia played tag with 15 kids on monday, 18 kids on tuesday and 97 kids on wednesday..How many kids did she play with on monday and tuesday?",[33.0],True,,,SVAMP,,,,
107,Rachel picked 4 apples from her tree. If the tree had 7 apples initially..How many apples are still there on the tree?,[3.0],True,,,SVAMP,,,,
108,If Lewis earns $ 1357 every week during the 223 weeks of a harvest season..How much money will he earn if he works for 73 harvest seasons?,[22090603.0],True,,,SVAMP,,,,
109,Katie had 81 ds games and her friends had 59 games..How many more games does Katie have than her friends?,[22.0],True,,,SVAMP,,,,
110,Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles.How many more marbles did Ed have than Doug then?,[21.0],True,,,SVAMP,,,,
111,"After eating a hearty meal they went to see the Buckingham palace. There were 71 paintings in the Buckingham palace. There, Rachel learned that 557 visitors came to the Buckingham palace that day. If there were 188 visitors the previous day.How many visited the Buckingham palace within 57 days?",[745.0],True,,,SVAMP,,,,
112,Tiffany was collecting cans for recycling. On monday she had some bags of cans. The next day she found 4 more bags worth of cans. If she had a total of 8 bags altogether.How many bags did she have on monday?,[4.0],True,,,SVAMP,,,,
113,The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17.How much farther until they reach the end of the cave?,[369.0],True,,,SVAMP,,,,
114,Bobby ate 38 pieces of candy. Then he ate 36 more. He also ate 16 pieces of chocolate..How many more pieces of candy than chocolate did Bobby eat?,[58.0],True,,,SVAMP,,,,
115,Jake has 3 fewer peaches than Steven who has 8 more peaches than Jill. Steven has 5 peaches..How many more peaches does Jake have than Jill?,[5.0],True,,,SVAMP,,,,
116,Matthew had 22 crackers and 34 cakes. If Matthew gave equal numbers of crackers and cakes to his 11 friends.How many crackers did each person eat?,[2.0],True,,,SVAMP,,,,
117,36 campers went rowing in the morning 13 campers went rowing in the afternoon and 49 campers went rowing in the evening..How many campers went rowing in all?,[98.0],True,,,SVAMP,,,,
118,White shirts can be purchased in packages of 13. If mom buys 39 white shirts.How many packages will she have?,[3.0],True,,,SVAMP,,,,
119,Rachel picked 6 ripe apples from her tree. Now the tree has 2 ripe apples and 4 unripe apples..How many apples did the tree have to begin with?,[12.0],True,,,SVAMP,,,,
120,Paul had 2 books. After selling some in a garage sale he bought 150 new ones. If he has 58 books now.How many books did he sell?,[94.0],True,,,SVAMP,,,,
121,Tom had 36 cookies. He gave 14 cookies to his friend and ate 10 cookies..How many cookies did Tom have left?,[12.0],True,,,SVAMP,,,,
122,Mary is baking a cake. The recipe calls for 12 cups of flour 5 cups of sugar and 49 cups of salt. She already put in 11 cups of flour..How many more cups of flour does she need to add?,[1.0],True,,,SVAMP,,,,
123,Lewis earns $ 403 every week during the 233 weeks of harvest. If he has to pay $ 49 rent every week.How much money does he earn during harvest season?,[93899.0],True,,,SVAMP,,,,
124,Tom had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies..How many salty cookies did Tom have left?,[17.0],True,,,SVAMP,,,,
125,They decided to hold the party in their backyard. They have 10 sets of tables and each set has 6 chairs. If there are 11 people sitting on chairs.How many chairs are left unoccupied?,[49.0],True,,,SVAMP,,,,
126,Baker made 99 cakes. He bought 167 new cakes and sold 89 cakes..How many more cakes did baker buy than those he sold?,[78.0],True,,,SVAMP,,,,
127,They decided to hold the party in their backyard. They have 12 sets of tables and each set has 14 chairs. There are also 6 chairs extra..How many chairs do they have for the guests?,[174.0],True,,,SVAMP,,,,
128,Because of the decision Sofia asked the students to suggest specific types of food. If 269 students suggested adding bacon 330 suggested adding mashed potatoes to the menu and 76 suggested adding tomatoes.How many more students suggested mashed potatoes than those that suggested bacon?,[61.0],True,,,SVAMP,,,,
129,Tiffany was collecting cans for recycling. On monday she had 3 bags of cans. The next day she found 7 more bags of cans and 44 bags of bottles..How many bags of cans did she have altogether?,[10.0],True,,,SVAMP,,,,
130,Paul sold some books in a garage sale leaving him with 27 books. If he had 136 books initially.How many books did he sell?,[109.0],True,,,SVAMP,,,,
131,Robin's hair was 14 inches long. It grew by 8 inches. Then he cut off 20 inches..How long is his hair now?,[2.0],True,,,SVAMP,,,,
132,Danny collects bottle caps. He found 30 bottle caps at the park while he threw away 63 old ones. Now he has 42 bottle caps in his collection..How many more bottle caps did Danny throw away than those he found at the park?,[33.0],True,,,SVAMP,,,,
133,Danny collects bottle caps and wrappers. He found 46 wrappers and 50 bottle caps at the park. Now he has 21 bottle caps and 52 wrappers in his collection..How many more bottle caps than wrappers did Danny find at the park?,[4.0],True,,,SVAMP,,,,
134,David did 44 push-ups in gym class today. David did 9 more push-ups than Zachary..How many push-ups did Zachary do?,[35.0],True,,,SVAMP,,,,
135,During the Arkansas and Texas tech game the Razorback shirt shop made $ 60 by selling shirts. If they make $ 10 dollars off each shirt sold.How many shirts did they sell?,[6.0],True,,,SVAMP,,,,
136,Carol was sending out birthday invitations to her friends. Each package of invitations she bought had 10 invitations in it and she bought 7 packs. If she sends invitations to only 2 friends.How many invitations will be left?,[68.0],True,,,SVAMP,,,,
137,Winter is almost here and most animals are migrating to warmer countries. There are 85 bird families living near the mountain. If 23 bird families flew away to africa and 37 bird families flew away to asia.How many bird families were left near the mountain?,[25.0],True,,,SVAMP,,,,
138,Baker made 19 cakes and 131 pastries. If he sold 70 cakes and 88 pastries.How many more pastries than cakes did baker make?,[112.0],True,,,SVAMP,,,,
139,You had 26 bags with equal number of cookies. If you had 15 candies and 52 cookies in total.How many cookies does each bag have?,[2.0],True,,,SVAMP,,,,
140,"5 red peaches, 14 yellow peaches and 6 green peaches are in the basket..How many green and yellow peaches are in the basket?",[20.0],True,,,SVAMP,,,,
141,A book has 2 chapters. The second chapter is 36 pages long. If there are a total of 67 pages in the book.How many pages are in the first chapter?,[31.0],True,,,SVAMP,,,,
142,26 children were riding on the bus. At the bus stop 38 more children got on the bus..How many children are on the bus now?,[64.0],True,,,SVAMP,,,,
143,Baker made 110 cakes. He sold 75 of them. Then he made 76 more cakes..How many cakes would baker still have?,[111.0],True,,,SVAMP,,,,
144,Paige was helping her mom plant flowers in 8 flowerbeds. They planted 32 seeds altogether. If they put same number of seeds in each flower bed.How many seeds did they plant in each flowerbed?,[4.0],True,,,SVAMP,,,,
145,Katie had 91 ds games and her new friends had 88 games and old friends had 53 games..How many games do her friends have in all?,[141.0],True,,,SVAMP,,,,
146,Paul got a box of some crayons for his birthday. During the school year he gave 563 crayons to his friends while he lost 558 crayons. If he only had 332 crayons left.How many crayons did he get for his birthday?,[1453.0],True,,,SVAMP,,,,
147,"Julia played tag with 17 kids on monday, 15 kids on tuesday and 2 kids on wednesday..How many kids did she play with altogether?",[34.0],True,,,SVAMP,,,,
148,There were 22 parents in the program and 676 people in total..How many pupils were present in the program?,[654.0],True,,,SVAMP,,,,
149,Zachary did 44 push-ups in gym class today. David did 58 more push-ups than zachary..How many push-ups did Zachary and David do altogether?,[146.0],True,,,SVAMP,,,,
150,Matthew gave equal numbers of crackers and cakes to his 4 friends. If he had 10 crackers and 8 cakes initially.How many cakes did each person eat?,[2.0],True,,,SVAMP,,,,
151,Olivia spent 78 dollars at a supermarket. If she has 33 dollars left with her.How much money did she have initially?,[111.0],True,,,SVAMP,,,,
152,The grasshopper and the frog had a jumping contest. The grasshopper jumped 31 inches and the frog jumped 35 inches..How much did they jump altogether?,[66.0],True,,,SVAMP,,,,
153,During summer break 819058 kids from Lawrence county go to camp and the other 668278 kids stay home..How many more kids spent their summer break at the camp compared to those who stayed home?,[150780.0],True,,,SVAMP,,,,
154,In a school there are 902 girls and 811 boys. 44 more girls joined the school..How many girls are there in the school now?,[946.0],True,,,SVAMP,,,,
155,Allan brought 2 balloons and Jake brought 3 balloons to the park..How many more balloons did Jake have than Allan in the park?,[1.0],True,,,SVAMP,,,,
156,Rachel had to complete 2 pages of reading homework and 4 pages of math homework..How many more pages of math homework than reading homework did she have?,[2.0],True,,,SVAMP,,,,
157,Allan brought 5 balloons and Jake brought 6 balloons to the park. Jake then bought 3 more balloons at the park..How many balloons did Jake bring to the park?,[9.0],True,,,SVAMP,,,,
158,Matthew gave equal numbers of crackers and cakes to his 28 friends. If he had 13 crackers and 15 cakes initially.How many crackers and cakes did each person eat?,[1.0],True,,,SVAMP,,,,
159,Jake brought 6 balloons to the park. If Jake brought 4 more balloons than the number of balloons that Allan brought.How many balloons did Allan bring to the park?,[2.0],True,,,SVAMP,,,,
160,3 birds were sitting on the fence. 6 more storks and 2 more birds came to join them..How many more storks than birds are sitting on the fence?,[1.0],True,,,SVAMP,,,,
161,Baker sold 44 cakes. If he had made 48 cakes initially.How many cakes would baker still have?,[4.0],True,,,SVAMP,,,,
162,Bryan took a look at his books as well. If he has 34 books distributed equally in 2 bookshelves.How many books are there in each bookshelf?,[17.0],True,,,SVAMP,,,,
163,A waiter had 14 customers. 5 customers left..How many customers does he still have?,[9.0],True,,,SVAMP,,,,
164,Dan has $ 4. For a total of $ 3 he bought 10 candy bar each one costing the same amount of money..How much money is left?,[1.0],True,,,SVAMP,,,,
165,Randy has 86 blocks. He uses 79 blocks to build a tower and 82 blocks to build a house..How many more blocks did he use to build the house than he did to build the tower?,[3.0],True,,,SVAMP,,,,
166,Lewis earns a total of $ 1216 during the harvest. If he earns $ 16 each week.How many weeks did the harvest last?,[76.0],True,,,SVAMP,,,,
167,Last week Fred had 86 dollars and Jason had 5 dollars. Fred washed cars over the weekend and now has 9 dollars and Jason did not work..How much money do they have together now?,[14.0],True,,,SVAMP,,,,
168,Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left..How many files did he delete?,[3.0],True,,,SVAMP,,,,
169,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 19 inches. The grasshopper jumped 4 inches farther than the frog and the mouse jumped 44 inches lesser than the frog..How far did the frog jump?",[15.0],True,,,SVAMP,,,,
170,Last week Fred had 60 dollars and Jason had 19 dollars. Jason washed cars over the weekend and now has 33 dollars..How much money did Jason make washing cars?,[14.0],True,,,SVAMP,,,,
171,"Julia played tag with 5 kids on monday, 9 kids on tuesday and 15 kids on wednesday..How many kids did she play with on monday and wednesday?",[20.0],True,,,SVAMP,,,,
172,Mary is baking a cake. The recipe calls for 11 cups of sugar and some more cups of flour. She already put in 3 cups of flour. If she still needs to add 6 more cups of flour.How many cups of flour did the recipe require?,[9.0],True,,,SVAMP,,,,
173,Each pack of DVD costs 76 dollars. If there is a discount of 25 dollars on each pack.How much do you have to pay to buy each pack?,[51.0],True,,,SVAMP,,,,
174,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 21 inches. The grasshopper jumped 25 inches farther than the frog and the mouse jumped 16 inches lesser than the frog..How much farther did the grasshopper jump than the mouse?",[41.0],True,,,SVAMP,,,,
175,Debby bought 88 water bottles and 13 soda bottles when they were on sale. If she drank 4 water bottles and 87 soda bottles a day.How many days would the water bottles last?,[22.0],True,,,SVAMP,,,,
176,46 campers went rowing on a day. 43 campers went rowing in the morning and some more campers went rowing in the afternoon..How many campers went rowing in the afternoon?,[3.0],True,,,SVAMP,,,,
177,Faye was placing 12 pencils equally into 3 rows..How many pencils did she place in each row?,[4.0],True,,,SVAMP,,,,
178,Edward spent $ 17. Then he received $ 10 from his friend. Now he has $ 7..How much did Edward have before he spent his money?,[14.0],True,,,SVAMP,,,,
179,For the walls of the house he would use 12 large planks of wood and 10 small planks. If large planks together need 15 pieces of nails to be secured and small planks together need 5 nails..How many nails does John need for the house wall?,[20.0],True,,,SVAMP,,,,
180,Haley grew 13 trees in her backyard. After a typhoon 6 died..How many more trees survived the typhoon than those that died?,[1.0],True,,,SVAMP,,,,
181,Nell collects cards. She had 309 baseball cards and 356 Ace cards. She gave some of her cards to Jeff and now has 415 baseball cards and Ace cards left..How many more baseball cards than Ace cards does Nell have?,[266.0],True,,,SVAMP,,,,
182,Haley grew 9 trees in her backyard. After a typhoon 4 died. Then she grew 5 more trees..How many trees does she have left?,[10.0],True,,,SVAMP,,,,
183,A waiter had 11 customers. After some left he still had 3 customers..How many more customers left than those that stayed behind?,[5.0],True,,,SVAMP,,,,
184,33 campers went rowing in the morning 34 campers went rowing in the afternoon and 10 campers went rowing in the evening..How many more campers went rowing in the afternoon than in the evening?,[24.0],True,,,SVAMP,,,,
185,There are 10 peaches distributed equally in some baskets. If each basket has 4 red peaches and 6 green peaches.How many baskets of peaches are there?,[1.0],True,,,SVAMP,,,,
186,Jack received 6 emails and sent 91 letters in the morning. He then received 2 emails and sent 74 letters in the afternoon..How many emails did Jack receive in the day?,[8.0],True,,,SVAMP,,,,
187,Robin has 28 packages of gum and 14 packages of candy. There are 6 pieces in each package..How many pieces does Robin have?,[7.0],True,,,SVAMP,,,,
188,The ring toss game at the carnival made 120 dollars in the first 20 days and 66 dollars in the remaining 16 days..How much did they make per day in the first 20 days at the carnival?,[6.0],True,,,SVAMP,,,,
189,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by 235 of the pickers that they fill 100 drums of raspberries per day and 221 drums of grapes per day..How many drums of grapes would be filled in 77 days?",[17017.0],True,,,SVAMP,,,,
190,There are 10 different books and 11 different movies in the ' crazy silly school ' series. If you read 13 of the books and watched 12 of the movies.How many more books than movies have you read?,[1.0],True,,,SVAMP,,,,
191,"Julia played tag with 14 kids on monday, 2 kids on tuesday and 8 kids on wednesday..How many more kids did she play with on monday than on wednesday?",[6.0],True,,,SVAMP,,,,
192,Rebecca wants to split a collection of marbles into groups of 4. Rebecca has 10 eggs and 20 marbles..How many groups will be created?,[5.0],True,,,SVAMP,,,,
193,Every day Ryan spends 5 hours on learning Chinese and some more hours on learning english. If he spends 2 hours more on learning english than on learning Chinese.How many hours does he spend on learning english?,[7.0],True,,,SVAMP,,,,
194,The Razorback shop makes $ 62 dollars off each shirt and $ 99 off each jersey. During the Arkansas and Texas tech game they sold 183 shirts and 31 jerseys..How much money did they make from selling the shirts?,[11346.0],True,,,SVAMP,,,,
195,Paul had 51 books and 106 pens. After selling some books and pens in a garage sale he had 82 books and 14 pens left..How many pens did he sell in the garage sale?,[92.0],True,,,SVAMP,,,,
